SPX (S&P 500 INDEX),2548.18,+3.45,
Oct 10 2017 @ 15:02 ET,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
17 Oct 2500.00 (SPXW1711J2500-E),50.28,0.0,45.10,52.60,0,468,17 Oct 2500.00 (SPXW1711V2500-E),0.10,-0.35,0.05,0.10,5346,5447,
17 Oct 2505.00 (SPXW1711J2505),44.95,+6.95,40.10,47.60,3,1593,17 Oct 2505.00 (SPXW1711V2505),0.10,-0.45,0.05,0.15,1839,1794,
17 Oct 2505.00 (SPXW1711J2505-E),44.95,+6.95,40.10,47.60,3,1593,17 Oct 2505.00 (SPXW1711V2505-E),0.10,-0.45,0.05,0.15,1839,1794,
17 Oct 2510.00 (SPXW1711J2510),35.81,+1.31,35.10,42.50,2,1930,17 Oct 2510.00 (SPXW1711V2510),0.10,-0.55,0.05,0.15,571,4203,
17 Oct 2510.00 (SPXW1711J2510-E),35.81,+1.31,35.10,42.50,2,1930,17 Oct 2510.00 (SPXW1711V2510-E),0.10,-0.55,0.05,0.15,571,4203,
17 Oct 2515.00 (SPXW1711J2515),33.25,+4.69,30.20,37.70,8,629,17 Oct 2515.00 (SPXW1711V2515),0.13,-0.62,0.10,0.15,710,2991,
17 Oct 2515.00 (SPXW1711J2515-E),33.25,+4.69,30.20,37.70,8,629,17 Oct 2515.00 (SPXW1711V2515-E),0.13,-0.62,0.10,0.15,710,2991,
17 Oct 2520.00 (SPXW1711J2520),28.40,+3.40,25.20,32.60,21,4214,17 Oct 2520.00 (SPXW1711V2520),0.20,-0.70,0.15,0.20,2113,2113,
17 Oct 2520.00 (SPXW1711J2520-E),28.40,+3.40,25.20,32.60,21,4214,17 Oct 2520.00 (SPXW1711V2520-E),0.20,-0.70,0.15,0.20,2113,2113,
17 Oct 2525.00 (SPXW1711J2525),23.22,+3.21,21.90,25.90,525,2864,17 Oct 2525.00 (SPXW1711V2525),0.23,-0.87,0.15,0.25,2877,3563,
17 Oct 2525.00 (SPXW1711J2525-E),23.22,+3.21,21.90,25.90,525,2864,17 Oct 2525.00 (SPXW1711V2525-E),0.23,-0.87,0.15,0.25,2877,3563,
17 Oct 2530.00 (SPXW1711J2530),18.63,+1.33,17.10,20.90,93,3908,17 Oct 2530.00 (SPXW1711V2530),0.32,-1.18,0.25,0.35,4315,5238,
